"Parameter","Mean","SD","Q2.5","Q97.5","ESS","Rhat","Rhat_upper"
"deviance",1885.59225173605,18.2425254776857,1851.9380429711,1923.57615718869,1808.29955649614,1.00141463073343,1.00347146854389
"Lmax_gen",-9.1898425106819,1.12472425385084,-11.5072631276295,-7.13548512584856,850.713811990676,1.007506371707,1.02270627846927
"Lmax_int",-7.51061719672762,1.48580490633998,-10.5356715031785,-4.71231586637575,1257.63099543482,1.00502197077036,1.01518531308778
"Lmax_monitor[1]",23.1076689415457,1.35782178392623,20.6198213667766,25.9535286565555,761.961891111993,1.00670595275316,1.01992073359546
"Lmax_monitor[10]",23.1076689415457,1.35782178392623,20.6198213667766,25.9535286565555,761.961891111993,1.00670595275316,1.01992073359546
"Lmax_monitor[100]",23.1076689415457,1.35782178392623,20.6198213667766,25.9535286565555,761.961891111993,1.00670595275316,1.01992073359546
"Lmax_monitor[1000]",14.1226276287517,0.525419999533111,13.1627060047323,15.2279328303414,1870.13739860379,1.00171079163183,1.0054095683309
"Lmax_monitor[1001]",14.1226276287517,0.525419999533111,13.1627060047323,15.2279328303414,1870.13739860379,1.00171079163183,1.0054095683309
"Lmax_monitor[1002]",14.1226276287517,0.525419999533111,13.1627060047323,15.2279328303414,1870.13739860379,1.00171079163183,1.0054095683309
"Lmax_monitor[1003]",14.1226276287517,0.525419999533111,13.1627060047323,15.2279328303414,1870.13739860379,1.00171079163183,1.0054095683309
"Lmax_monitor[1004]",14.1226276287517,0.525419999533111,13.1627060047323,15.2279328303414,1870.13739860379,1.00171079163183,1.0054095683309
"Lmax_monitor[1005]",14.1226276287517,0.525419999533111,13.1627060047323,15.2279328303414,1870.13739860379,1.00171079163183,1.0054095683309
"Lmax_monitor[1006]",14.1226276287517,0.525419999533111,13.1627060047323,15.2279328303414,1870.13739860379,1.00171079163183,1.0054095683309
"Lmax_monitor[1007]",14.1226276287517,0.525419999533111,13.1627060047323,15.2279328303414,1870.13739860379,1.00171079163183,1.0054095683309
"Lmax_monitor[1008]",14.1226276287517,0.525419999533111,13.1627060047323,15.2279328303414,1870.13739860379,1.00171079163183,1.0054095683309
"Lmax_monitor[1009]",14.1226276287517,0.525419999533111,13.1627060047323,15.2279328303414,1870.13739860379,1.00171079163183,1.0054095683309
"Lmax_monitor[101]",23.1076689415457,1.35782178392623,20.6198213667766,25.9535286565555,761.961891111993,1.00670595275316,1.01992073359546
"Lmax_monitor[1010]",14.1226276287517,0.525419999533111,13.1627060047323,15.2279328303414,1870.13739860379,1.00171079163183,1.0054095683309
"Lmax_monitor[1011]",14.1226276287517,0.525419999533111,13.1627060047323,15.2279328303414,1870.13739860379,1.00171079163183,1.0054095683309
"Lmax_monitor[1012]",14.1226276287517,0.525419999533111,13.1627060047323,15.2279328303414,1870.13739860379,1.00171079163183,1.0054095683309
"Lmax_monitor[1013]",14.1226276287517,0.525419999533111,13.1627060047323,15.2279328303414,1870.13739860379,1.00171079163183,1.0054095683309
"Lmax_monitor[1014]",14.1226276287517,0.525419999533111,13.1627060047323,15.2279328303414,1870.13739860379,1.00171079163183,1.0054095683309
"Lmax_monitor[1015]",14.1226276287517,0.525419999533111,13.1627060047323,15.2279328303414,1870.13739860379,1.00171079163183,1.0054095683309
"Lmax_monitor[1016]",14.1226276287517,0.525419999533111,13.1627060047323,15.2279328303414,1870.13739860379,1.00171079163183,1.0054095683309
"Lmax_monitor[1017]",14.1226276287517,0.525419999533111,13.1627060047323,15.2279328303414,1870.13739860379,1.00171079163183,1.0054095683309
"Lmax_monitor[1018]",14.1226276287517,0.525419999533111,13.1627060047323,15.2279328303414,1870.13739860379,1.00171079163183,1.0054095683309
"Lmax_monitor[1019]",14.1226276287517,0.525419999533111,13.1627060047323,15.2279328303414,1870.13739860379,1.00171079163183,1.0054095683309
"Lmax_monitor[102]",23.1076689415457,1.35782178392623,20.6198213667766,25.9535286565555,761.961891111993,1.00670595275316,1.01992073359546
"Lmax_monitor[1020]",14.1226276287517,0.525419999533111,13.1627060047323,15.2279328303414,1870.13739860379,1.00171079163183,1.0054095683309
"Lmax_monitor[1021]",14.1226276287517,0.525419999533111,13.1627060047323,15.2279328303414,1870.13739860379,1.00171079163183,1.0054095683309
"Lmax_monitor[1022]",14.1226276287517,0.525419999533111,13.1627060047323,15.2279328303414,1870.13739860379,1.00171079163183,1.0054095683309
"Lmax_monitor[1023]",14.1226276287517,0.525419999533111,13.1627060047323,15.2279328303414,1870.13739860379,1.00171079163183,1.0054095683309
"Lmax_monitor[1024]",14.1226276287517,0.525419999533111,13.1627060047323,15.2279328303414,1870.13739860379,1.00171079163183,1.0054095683309
"Lmax_monitor[1025]",14.1226276287517,0.525419999533111,13.1627060047323,15.2279328303414,1870.13739860379,1.00171079163183,1.0054095683309
"Lmax_monitor[1026]",14.1226276287517,0.525419999533111,13.1627060047323,15.2279328303414,1870.13739860379,1.00171079163183,1.0054095683309
"Lmax_monitor[1027]",14.1226276287517,0.525419999533111,13.1627060047323,15.2279328303414,1870.13739860379,1.00171079163183,1.0054095683309
"Lmax_monitor[1028]",14.1226276287517,0.525419999533111,13.1627060047323,15.2279328303414,1870.13739860379,1.00171079163183,1.0054095683309
"Lmax_monitor[1029]",14.1226276287517,0.525419999533111,13.1627060047323,15.2279328303414,1870.13739860379,1.00171079163183,1.0054095683309
"Lmax_monitor[103]",23.1076689415457,1.35782178392623,20.6198213667766,25.9535286565555,761.961891111993,1.00670595275316,1.01992073359546
"Lmax_monitor[1030]",14.1226276287517,0.525419999533111,13.1627060047323,15.2279328303414,1870.13739860379,1.00171079163183,1.0054095683309
"Lmax_monitor[1031]",14.1226276287517,0.525419999533111,13.1627060047323,15.2279328303414,1870.13739860379,1.00171079163183,1.0054095683309
"Lmax_monitor[1032]",14.1226276287517,0.525419999533111,13.1627060047323,15.2279328303414,1870.13739860379,1.00171079163183,1.0054095683309
"Lmax_monitor[1033]",13.9178264308638,0.520763717035218,12.9734120916052,15.0058649313411,1899.41666987605,1.00099013898165,1.00284087328401
"Lmax_monitor[1034]",13.9178264308638,0.520763717035218,12.9734120916052,15.0058649313411,1899.41666987605,1.00099013898165,1.00284087328401
"Lmax_monitor[1035]",13.9178264308638,0.520763717035218,12.9734120916052,15.0058649313411,1899.41666987605,1.00099013898165,1.00284087328401
"Lmax_monitor[1036]",13.9178264308638,0.520763717035218,12.9734120916052,15.0058649313411,1899.41666987605,1.00099013898165,1.00284087328401
"Lmax_monitor[1037]",13.9178264308638,0.520763717035218,12.9734120916052,15.0058649313411,1899.41666987605,1.00099013898165,1.00284087328401
"Lmax_monitor[1038]",13.9178264308638,0.520763717035218,12.9734120916052,15.0058649313411,1899.41666987605,1.00099013898165,1.00284087328401
"Lmax_monitor[1039]",13.9178264308638,0.520763717035218,12.9734120916052,15.0058649313411,1899.41666987605,1.00099013898165,1.00284087328401
"Lmax_monitor[104]",23.1076689415457,1.35782178392623,20.6198213667766,25.9535286565555,761.961891111993,1.00670595275316,1.01992073359546
"Lmax_monitor[1040]",13.9178264308638,0.520763717035218,12.9734120916052,15.0058649313411,1899.41666987605,1.00099013898165,1.00284087328401
"Lmax_monitor[1041]",13.9178264308638,0.520763717035218,12.9734120916052,15.0058649313411,1899.41666987605,1.00099013898165,1.00284087328401
"Lmax_monitor[1042]",13.9178264308638,0.520763717035218,12.9734120916052,15.0058649313411,1899.41666987605,1.00099013898165,1.00284087328401
"Lmax_monitor[1043]",13.9178264308638,0.520763717035218,12.9734120916052,15.0058649313411,1899.41666987605,1.00099013898165,1.00284087328401
"Lmax_monitor[1044]",13.9178264308638,0.520763717035218,12.9734120916052,15.0058649313411,1899.41666987605,1.00099013898165,1.00284087328401
"Lmax_monitor[1045]",13.9178264308638,0.520763717035218,12.9734120916052,15.0058649313411,1899.41666987605,1.00099013898165,1.00284087328401
"Lmax_monitor[1046]",13.9178264308638,0.520763717035218,12.9734120916052,15.0058649313411,1899.41666987605,1.00099013898165,1.00284087328401
"Lmax_monitor[1047]",13.9178264308638,0.520763717035218,12.9734120916052,15.0058649313411,1899.41666987605,1.00099013898165,1.00284087328401
"Lmax_monitor[1048]",13.9178264308638,0.520763717035218,12.9734120916052,15.0058649313411,1899.41666987605,1.00099013898165,1.00284087328401
"Lmax_monitor[1049]",13.9178264308638,0.520763717035218,12.9734120916052,15.0058649313411,1899.41666987605,1.00099013898165,1.00284087328401
"Lmax_monitor[105]",23.1076689415457,1.35782178392623,20.6198213667766,25.9535286565555,761.961891111993,1.00670595275316,1.01992073359546
